User_id,Country,Balance,Iban
1000,KIR,6332.0,IBAN1599517229
1001,VIR,1559.0,IBAN2968355592
1002,SLV,4745.0,IBAN8361297470
1003,IRL,4084.0,IBAN2273215764
1004,LKA,9608.0,IBAN6450381506
1005,BTN,4455.0,IBAN2764549738
1006,AFG,8138.0,IBAN3681568607
1007,BOL,6304.0,IBAN9258846231
1008,NIC,8316.0,IBAN1667187796
1009,DOM,6910.0,IBAN2367486507
1010,TCA,9346.0,IBAN9283382882
1011,DMA,302.0,IBAN3750231752
1012,VCT,5480.0,IBAN9924241134
1013,GEO,466.0,IBAN3238815496
1014,MEX,7077.0,IBAN4126971630
1015,PRI,9164.0,IBAN5667085706
1016,ETH,9737.0,IBAN8896169683
1017,CAF,3372.0,IBAN8925533172
1018,QAT,6023.0,IBAN1540390220
1019,ATG,3233.0,IBAN4347090239
1020,SMR,6511.0,IBAN9127742966
1021,LBY,4389.0,IBAN2039354464
1022,MAC,4554.0,IBAN9476493911
1023,KGZ,8637.0,IBAN8667905027
1024,LTU,2169.0,IBAN7124648307
1025,BDI,6371.0,IBAN8669433004
1026,THA,6076.0,IBAN4225657785
1027,BHR,9739.0,IBAN6163204622
1028,URY,1600.0,IBAN6986462799
1029,TUV,8989.0,IBAN3181456614
1030,CZE,1085.0,IBAN4664390044
1031,BHS,2032.0,IBAN6217589710
1032,MRT,4729.0,IBAN6904594316
1033,ISL,5823.0,IBAN8015192037
1034,GIN,3234.0,IBAN7972172031
1035,TUN,2475.0,IBAN1385720874
1036,GRC,4388.0,IBAN4754422343
1037,IMN,5982.0,IBAN8814416975
1038,JOR,6267.0,IBAN1233994232
1039,CRI,9262.0,IBAN6255599638
1040,TGO,2664.0,IBAN7750032349
1041,TTO,1584.0,IBAN6076242680
1042,MDA,3140.0,IBAN6168700789
1043,ERI,7942.0,IBAN6983111959
1044,EGY,2708.0,IBAN2124071253
1045,SWE,8206.0,IBAN5665957622
1046,GAB,3000.0,IBAN6747839126
